"Œp‘±ŽžŠÔ
(s)","‰Á‘¬“xNS
(cm/s/s)"
10.94 ,7.9 
10.96 ,37.4 
10.98 ,61.5 
11.00 ,66.5 
11.02 ,25.4 
11.04 ,-5.7 
11.06 ,-47.4 
11.08 ,-35.6 
11.10 ,-24.3 
11.12 ,-4.8 
11.14 ,12.6 
11.16 ,37.9 
11.18 ,24.1 
11.20 ,-22.7 
11.22 ,-42.8 
11.24 ,-67.9 
11.26 ,-66.1 
11.28 ,-59.0 
11.30 ,-51.3 
11.32 ,-40.8 
11.34 ,-30.9 
11.36 ,-26.6 
11.38 ,-54.1 
11.40 ,-62.8 
11.42 ,-90.8 
11.44 ,-110.7 
11.46 ,-88.1 
11.48 ,-77.0 
11.50 ,-58.2 
11.52 ,-47.3 
11.54 ,-33.3 
11.56 ,-19.9 
11.58 ,2.0 
11.60 ,21.1 
11.62 ,43.2 
11.64 ,61.3 
11.66 ,76.7 
11.68 ,93.3 
11.70 ,106.6 
11.72 ,113.0 
11.74 ,118.7 
11.76 ,124.7 
11.78 ,133.4 
11.80 ,159.4 
11.82 ,179.7 
11.84 ,203.7 
11.86 ,123.6 
11.88 ,44.2 
11.90 ,-14.0 
11.92 ,-66.6 
11.94 ,-55.5 
11.96 ,-69.3 
11.98 ,-98.4 
12.00 ,-124.6 
12.02 ,-117.9 
12.04 ,-105.0 
12.06 ,-92.0 
12.08 ,-74.3 
12.10 ,-80.9 
12.12 ,-85.0 
12.14 ,-86.0 
12.16 ,-86.3 
12.18 ,-87.3 
12.20 ,-86.8 
12.22 ,-88.5 
12.24 ,-53.7 
12.26 ,5.2 
12.28 ,21.5 
12.30 ,24.5 
12.32 ,58.0 
12.34 ,31.4 
12.36 ,23.6 
12.38 ,48.5 
12.40 ,58.9 
12.42 ,52.5 
12.44 ,35.5 
12.46 ,19.7 
12.48 ,19.9 
12.50 ,49.2 
12.52 ,34.3 
12.54 ,28.8 
12.56 ,43.2 
12.58 ,23.9 
12.60 ,8.8 
12.62 ,7.7 
12.64 ,-14.8 
12.66 ,-7.7 
12.68 ,-1.9 
12.70 ,7.5 
12.72 ,4.4 
12.74 ,-14.5 
12.76 ,-31.6 
12.78 ,-24.1 
12.80 ,-2.8 
12.82 ,18.2 
12.84 ,42.6 
12.86 ,43.9 
12.88 ,51.2 
12.90 ,46.6 
12.92 ,47.9 
12.94 ,19.3 
12.96 ,22.2 
12.98 ,27.4 
13.00 ,39.3 
